job_title,text_clean,category,label,word_count
Risk Manager,risk manager menganalisis kelayakan kredit nasabah mengelola portofolio pinjaman posisi fresh graduate welcome,Finance & Accounting,2,13
Geotechnical Engineer,geotechnical engineer gambar teknik autocad software desain posisi jakarta,Engineering,1,9
Warehouse Manager,warehouse manager merencanakan produksi mengelola kapasitas pabrik posisi fresh graduate welcome,Operations & Supply Chain,7,11
Kepala Sekolah,kepala sekolah mengembangkan assessment evaluasi pembelajaran posisi bandung,Education,0,8
Java Developer,java developer pengujian kualitas perangkat lunak menulis test case otomatis posisi bali,IT & Software,5,12
Product Marketing Manager,product marketing manager menganalisis data penjualan laporan performa marketing posisi remote work available,Marketing & Sales,6,13
UI/UX Designer,designer membangun rest api python flask django mengelola database postgresql posisi bandung,IT & Software,5,12
Account Manager,account manager mengelola campaign iklan google ads meta ads target roas posisi pengalaman,Marketing & Sales,6,13
Training Coordinator,training coordinator mengembangkan kurikulum materi pembelajaran posisi pengalaman,Education,0,8
Growth Hacker,growth hacker konten kreatif channel marketing posisi hybrid working,Marketing & Sales,6,9
Event Organizer,event organizer membangun hubungan klien mencapai target penjualan bulanan posisi full time,Marketing & Sales,6,12
Lab Technician,lab technician mengelola program pendidikan pelatihan lembaga posisi surabaya,Education,0,9
Supply Chain Manager,supply chain manager mengkoordinasi pengiriman distribusi produk indonesia posisi medan,Operations & Supply Chain,7,10
Culture Officer,culture officer menganalisis data sdm mendukung pengambilan keputusan strategis posisi medan,Human Resources,4,11
Terapis Wicara,terapis wicara konsultasi gizi terapi diet pasien posisi bali,Healthcare,3,9
Operations Manager,operations manager mengkoordinasi pengiriman distribusi produk indonesia posisi surabaya,Operations & Supply Chain,7,9
Program Coordinator,program coordinator konseling bimbingan peserta didik posisi fresh graduate welcome,Education,0,10
Social Media Manager,social media manager mengelola campaign iklan google ads meta ads target roas posisi bali,Marketing & Sales,6,14
Logistics Coordinator,logistics coordinator memantau kualitas produksi sesuai standar iso spesifikasi pelanggan posisi medan,Operations & Supply Chain,7,12
Mobile Developer Android,mobile developer android membangun pipeline data apache spark kafka posisi surabaya,IT & Software,5,11
Mobile Developer Android,mobile developer android mengelola mengoptimasi database mysql mongodb posisi pengalaman,IT & Software,5,10
Import Export Staff,import export staff mengelola operasional gudang akurasi inventaris posisi pengalaman,Operations & Supply Chain,7,10
QA Engineer,engineer membangun pipeline data apache spark kafka posisi bandung,IT & Software,5,9
Loan Officer,loan officer menganalisis laporan keuangan perusahaan pengambilan keputusan investasi posisi bandung,Finance & Accounting,2,11
Radiografer,radiografer asuhan keperawatan pasien rawat inap rawat jalan posisi surabaya,Healthcare,3,10
Copywriter,copywriter mengelola campaign iklan google ads meta ads target roas posisi remote work available,Marketing & Sales,6,14
Backend Developer,backend developer mengembangkan aplikasi mobile android kotlin java posisi hybrid working,IT & Software,5,11
Production Planner,production planner memantau kualitas produksi sesuai standar iso spesifikasi pelanggan posisi pengalaman,Operations & Supply Chain,7,12
Controller Keuangan,controller keuangan mengelola risiko keuangan kepatuhan regulasi ojk posisi bali,Finance & Accounting,2,10
Quality Control,quality control merencanakan produksi mengelola kapasitas pabrik posisi pengalaman,Operations & Supply Chain,7,9
Quality Engineer,quality engineer gambar teknik autocad software desain posisi medan,Engineering,1,9
Commissioning Engineer,commissioning engineer merancang instalasi listrik sistem kelistrikan industri posisi hybrid working,Engineering,1,11
Analis Laboratorium,analis laboratorium konsultasi gizi terapi diet pasien posisi remote work available,Healthcare,3,11
Network Engineer,network engineer mengembangkan aplikasi mobile android kotlin java posisi remote work available,IT & Software,5,12
Fleet Manager,fleet manager memantau kualitas produksi sesuai standar iso spesifikasi pelanggan posisi bali,Operations & Supply Chain,7,12
System Analyst,system analyst mengelola mengoptimasi database mysql mongodb posisi hybrid working,IT & Software,5,10
Headhunter,headhunter evaluasi kinerja karyawan program talent management posisi medan,Human Resources,4,9
PPIC Manager,ppic manager mengelola operasional gudang akurasi inventaris posisi fresh graduate welcome,Operations & Supply Chain,7,11
Construction Manager,construction manager keselamatan kerja lingkungan industri posisi pengalaman,Engineering,1,8
Content Writer,content writer mengelola konten media sosial instagram tiktok linkedin perusahaan posisi jakarta,Marketing & Sales,6,12
Sales Manager,sales manager mengelola event pemasaran pameran dagang posisi bali,Marketing & Sales,6,9
Site Engineer,site engineer merancang instalasi listrik sistem kelistrikan industri posisi remote work available,Engineering,1,12
DevOps Engineer,devops engineer pengujian kualitas perangkat lunak menulis test case otomatis posisi hybrid working,IT & Software,5,13
PPIC Manager,ppic manager mengelola proses impor ekspor dokumen kepabeanan posisi remote work available,Operations & Supply Chain,7,12
Marketing Analyst,marketing analyst membangun hubungan klien mencapai target penjualan bulanan posisi pengalaman,Marketing & Sales,6,11
Maintenance Engineer,maintenance engineer gambar teknik autocad software desain posisi surabaya,Engineering,1,9
iOS Developer,ios developer mengembangkan aplikasi web react node berkolaborasi tim backend posisi surabaya,IT & Software,5,12
Email Marketing Specialist,email marketing specialist membangun hubungan klien mencapai target penjualan bulanan posisi hybrid working,Marketing & Sales,6,13
Backend Developer,backend developer mengembangkan aplikasi mobile android kotlin java posisi surabaya,IT & Software,5,10
Social Media Manager,social media manager mengelola campaign iklan google ads meta ads target roas posisi remote work available,Marketing & Sales,6,16
Vendor Management,vendor management mengelola hubungan pemasok evaluasi vendor posisi bandung,Operations & Supply Chain,7,9
Coach,coach mengembangkan kurikulum materi pembelajaran posisi medan,Education,0,7
Instrumentation Engineer,instrumentation engineer gambar teknik autocad software desain posisi hybrid working,Engineering,1,10
Terapis Wicara,terapis wicara mendispensing obat sesuai resep dokter posisi fresh graduate welcome,Healthcare,3,11
Growth Hacker,growth hacker menganalisis data penjualan laporan performa marketing posisi full time,Marketing & Sales,6,11
HR Analyst,analyst mengelola sistem kompensasi benefit karyawan sesuai regulasi posisi surabaya,Human Resources,4,10
Recruiter,recruiter memfasilitasi program onboarding orientasi karyawan posisi remote work available,Human Resources,4,10
Vendor Management,vendor management menganalisis data supply chain efisiensi biaya posisi remote work available,Operations & Supply Chain,7,12
Payroll Specialist,payroll specialist menganalisis laporan keuangan perusahaan pengambilan keputusan investasi posisi hybrid working,Finance & Accounting,2,12
Terapis Wicara,terapis wicara pemeriksaan laboratorium menginterpretasikan hasil posisi bali,Healthcare,3,8
Compensation & Benefits,compensation benefits mengembangkan program pelatihan pengembangan karyawan posisi bandung,Human Resources,4,9
Rekam Medis,rekam medis konsultasi gizi terapi diet pasien posisi bandung,Healthcare,3,9
Cybersecurity Analyst,cybersecurity analyst membangun pipeline data apache spark kafka posisi full time,IT & Software,5,11
iOS Developer,ios developer mengembangkan aplikasi mobile android kotlin java posisi surabaya,IT & Software,5,10
Dokter Gigi,dokter gigi pemeriksaan laboratorium menginterpretasikan hasil posisi hybrid working,Healthcare,3,9
Site Engineer,site engineer perawatan preventif korektif mesin produksi posisi surabaya,Engineering,1,9
Account Manager,account manager menganalisis data penjualan laporan performa marketing posisi remote work available,Marketing & Sales,6,12
Librarian,librarian pengajaran penelitian perguruan posisi pengalaman,Education,0,6
Brand Manager,brand manager mengoptimalkan seo website meningkatkan organic traffic posisi pengalaman,Marketing & Sales,6,10
CAD Designer,cad designer mengoptimalkan proses kimia pabrik troubleshooting posisi surabaya,Engineering,1,9
Site Engineer,site engineer menganalisis meningkatkan efisiensi proses produksi posisi hybrid working,Engineering,1,10
Procurement Specialist,procurement specialist merencanakan produksi mengelola kapasitas pabrik posisi full time,Operations & Supply Chain,7,10
Fasilitator,fasilitator konseling bimbingan peserta didik posisi remote work available,Education,0,9
Loan Officer,loan officer mengelola risiko keuangan kepatuhan regulasi ojk posisi surabaya,Finance & Accounting,2,10
Curriculum Developer,curriculum developer mengelola program pendidikan pelatihan lembaga posisi bandung,Education,0,9
Production Planner,production planner mengkoordinasi pengiriman distribusi produk indonesia posisi pengalaman,Operations & Supply Chain,7,9
Dokter Spesialis,dokter spesialis pemeriksaan rontgen modalitas pencitraan posisi full time,Healthcare,3,9
Fasilitator,fasilitator mengembangkan kurikulum materi pembelajaran posisi bandung,Education,0,7
Analis Laboratorium,analis laboratorium konsultasi gizi terapi diet pasien posisi pengalaman,Healthcare,3,9
Mobile Developer Android,mobile developer android pengujian kualitas perangkat lunak menulis test case otomatis posisi jakarta,IT & Software,5,13
HR Manager,manager mengelola proses rekrutmen end end sourcing onboarding posisi full time,Human Resources,4,11
Payroll Specialist,payroll specialist menghitung biaya produksi menganalisis variance anggaran posisi medan,Finance & Accounting,2,10
School Counselor,school counselor riset publikasi ilmiah bidang pendidikan posisi pengalaman,Education,0,9
Warehouse Manager,warehouse manager mengkoordinasi pengiriman distribusi produk indonesia posisi surabaya,Operations & Supply Chain,7,9
Performance Marketing,performance marketing mengelola campaign iklan google ads meta ads target roas posisi full time,Marketing & Sales,6,14
Program Coordinator,program coordinator riset publikasi ilmiah bidang pendidikan posisi jakarta,Education,0,9
HRIS Specialist,hris specialist mengelola proses rekrutmen end end sourcing onboarding posisi bandung,Human Resources,4,11
Environmental Engineer,environmental engineer menganalisis meningkatkan efisiensi proses produksi posisi remote work available,Engineering,1,11
Trade Marketing,trade marketing mengelola campaign iklan google ads meta ads target roas posisi surabaya,Marketing & Sales,6,13
Credit Analyst,credit analyst menganalisis laporan keuangan perusahaan pengambilan keputusan investasi posisi medan,Finance & Accounting,2,11
Vendor Management,vendor management mengelola pengadaan barang jasa negosiasi vendor posisi medan,Operations & Supply Chain,7,10
Operations Analyst,operations analyst mengoptimalkan proses operasional metodologi lean posisi bali,Operations & Supply Chain,7,9
People Operations,people operations mengembangkan program pelatihan pengembangan karyawan posisi pengalaman,Human Resources,4,9
Psikolog,psikolog pelayanan kebidanan hamil melahirkan posisi full time,Healthcare,3,8
Sanitarian,sanitarian pelayanan kebidanan hamil melahirkan posisi jakarta,Healthcare,3,7
Import Export Staff,import export staff mengelola operasional gudang akurasi inventaris posisi medan,Operations & Supply Chain,7,10
Optometris,optometris pemeriksaan laboratorium menginterpretasikan hasil posisi pengalaman,Healthcare,3,7
Email Marketing Specialist,email marketing specialist mengelola campaign iklan google ads meta ads target roas posisi bandung,Marketing & Sales,6,14
Coach,coach mengelola program pendidikan pelatihan lembaga posisi hybrid working,Education,0,9
Logistics Coordinator,logistics coordinator mengelola hubungan pemasok evaluasi vendor posisi fresh graduate welcome,Operations & Supply Chain,7,11
Frontend Developer,frontend developer membangun rest api python flask django mengelola database postgresql posisi full time,IT & Software,5,14
Network Engineer,network engineer membangun pipeline data apache spark kafka posisi jakarta,IT & Software,5,10
Financial Analyst,financial analyst menyusun laporan keuangan bulanan tahunan sesuai standar psak posisi bali,Finance & Accounting,2,12
iOS Developer,ios developer merancang arsitektur sistem cloud aws mengelola container docker kubernetes posisi full time,IT & Software,5,14
Network Engineer,network engineer mengembangkan aplikasi mobile android kotlin java posisi full time,IT & Software,5,11
QA Engineer,engineer membangun rest api python flask django mengelola database postgresql posisi medan,IT & Software,5,12
Financial Planner,financial planner audit internal proses keuangan operasional perusahaan posisi full time,Finance & Accounting,2,11
CAD Designer,cad designer merancang instalasi listrik sistem kelistrikan industri posisi remote work available,Engineering,1,12
Brand Manager,brand manager mengoptimalkan seo website meningkatkan organic traffic posisi bali,Marketing & Sales,6,10
Guru,guru mengembangkan kurikulum materi pembelajaran posisi surabaya,Education,0,7
Content Developer,content developer mengelola program pendidikan pelatihan lembaga posisi surabaya,Education,0,9
Bidan,bidan fisioterapi rehabilitasi medis pasien posisi surabaya,Healthcare,3,7
Compliance Officer,compliance officer memproses penggajian karyawan administrasi tunjangan posisi jakarta,Finance & Accounting,2,9
Koordinator Medis,koordinator medis pemeriksaan diagnosis pengobatan pasien klinik posisi bali,Healthcare,3,9
Trade Marketing,trade marketing mengoptimalkan seo website meningkatkan organic traffic posisi bandung,Marketing & Sales,6,10
Maintenance Engineer,maintenance engineer gambar teknik autocad software desain posisi jakarta,Engineering,1,9
Risk Manager,risk manager memproses penggajian karyawan administrasi tunjangan posisi bandung,Finance & Accounting,2,9
Widyaiswara,widyaiswara riset publikasi ilmiah bidang pendidikan posisi surabaya,Education,0,8
Training & Development,training development mengelola administrasi sdm kontrak kerja dokumen kepegawaian posisi remote work available,Human Resources,4,13
Peneliti,peneliti mengembangkan assessment evaluasi pembelajaran posisi fresh graduate welcome,Education,0,9
HR Staff,staff mengelola proses rekrutmen end end sourcing onboarding posisi hybrid working,Human Resources,4,11
Account Manager,account manager membangun hubungan klien mencapai target penjualan bulanan posisi full time,Marketing & Sales,6,12
Safety Engineer,safety engineer menganalisis meningkatkan efisiensi proses produksi posisi bali,Engineering,1,9
Web Developer,web developer mengembangkan aplikasi mobile android kotlin java posisi medan,IT & Software,5,10
Lab Technician,lab technician mengembangkan kurikulum materi pembelajaran posisi bali,Education,0,8
Plant Manager,plant manager mengelola pengadaan barang jasa negosiasi vendor posisi jakarta,Operations & Supply Chain,7,10
Fisioterapis,fisioterapis konsultasi gizi terapi diet pasien posisi medan,Healthcare,3,8
Project Manager,project manager pengujian kualitas material produk posisi surabaya,Engineering,1,8
Industrial Engineer,industrial engineer perawatan preventif korektif mesin produksi posisi surabaya,Engineering,1,9
Analis Laboratorium,analis laboratorium pemeriksaan rontgen modalitas pencitraan posisi hybrid working,Healthcare,3,9
Project Manager,project manager pengujian kualitas material produk posisi jakarta,Engineering,1,8
Sales Executive,sales executive mengelola event pemasaran pameran dagang posisi jakarta,Marketing & Sales,6,9
Drafter,drafter mengoptimalkan proses kimia pabrik troubleshooting posisi bali,Engineering,1,8
Marketing Manager,marketing manager merancang strategi market produk posisi full time,Marketing & Sales,6,9
Business Development,business development membangun hubungan klien mencapai target penjualan bulanan posisi remote work available,Marketing & Sales,6,13
SEO Specialist,seo specialist riset pasar analisis kompetitor strategi brand posisi surabaya,Marketing & Sales,6,10
Training & Development,training development mengimplementasikan sistem hris mengelola data karyawan posisi hybrid working,Human Resources,4,11
Data Engineer,data engineer mengelola infrastruktur server linux automasi deployment pipeline posisi surabaya,IT & Software,5,11
Guru,guru merancang mengembangkan konten learning berbasis teknologi posisi bali,Education,0,9
HR Director,director evaluasi kinerja karyawan program talent management posisi bandung,Human Resources,4,9
Product Marketing Manager,product marketing manager menganalisis data penjualan laporan performa marketing posisi hybrid working,Marketing & Sales,6,12
Marketing Analyst,marketing analyst menganalisis data penjualan laporan performa marketing posisi medan,Marketing & Sales,6,10
Sales Manager,sales manager mengelola event pemasaran pameran dagang posisi remote work available,Marketing & Sales,6,11
Radiografer,radiografer mengelola administrasi rumah sakit klinik kesehatan posisi surabaya,Healthcare,3,9
Industrial Engineer,industrial engineer perawatan preventif korektif mesin produksi posisi remote work available,Engineering,1,11
Training & Development,training development evaluasi kinerja karyawan program talent management posisi jakarta,Human Resources,4,10
Geotechnical Engineer,geotechnical engineer gambar teknik autocad software desain posisi bali,Engineering,1,9
Organizational Development,organizational development membangun hubungan industrial harmonis manajemen karyawan posisi hybrid working,Human Resources,4,11
Procurement Specialist,procurement specialist menganalisis data supply chain efisiensi biaya posisi full time,Operations & Supply Chain,7,11
Radiografer,radiografer pemeriksaan diagnosis pengobatan pasien klinik posisi medan,Healthcare,3,8
Budget Analyst,budget analyst menganalisis laporan keuangan perusahaan pengambilan keputusan investasi posisi fresh graduate welcome,Finance & Accounting,2,13
Brand Manager,brand manager menganalisis data penjualan laporan performa marketing posisi bandung,Marketing & Sales,6,10
Sales Manager,sales manager menganalisis data penjualan laporan performa marketing posisi medan,Marketing & Sales,6,10
Peneliti,peneliti riset publikasi ilmiah bidang pendidikan posisi pengalaman,Education,0,8
Mechanical Engineer,mechanical engineer menganalisis meningkatkan efisiensi proses produksi posisi bali,Engineering,1,9
Tutor,tutor memfasilitasi pelatihan workshop pengembangan kompetensi posisi fresh graduate welcome,Education,0,10
Bidan,bidan mempromosikan produk farmasi dokter tenaga medis posisi bali,Healthcare,3,9
Geotechnical Engineer,geotechnical engineer merancang instalasi listrik sistem kelistrikan industri posisi bandung,Engineering,1,10
Financial Planner,financial planner memproses penggajian karyawan administrasi tunjangan posisi hybrid working,Finance & Accounting,2,10
Akuntan,akuntan memproses penggajian karyawan administrasi tunjangan posisi jakarta,Finance & Accounting,2,8
Talent Acquisition,talent acquisition mengelola administrasi sdm kontrak kerja dokumen kepegawaian posisi full time,Human Resources,4,12
Account Manager,account manager merancang strategi market produk posisi medan,Marketing & Sales,6,8
Budget Analyst,budget analyst menyusun laporan keuangan bulanan tahunan sesuai standar psak posisi medan,Finance & Accounting,2,12
Plant Manager,plant manager merancang mengoptimalkan rantai pasok pemasok konsumen posisi surabaya,Operations & Supply Chain,7,10
iOS Developer,ios developer mengembangkan aplikasi mobile android kotlin java posisi bali,IT & Software,5,10
Cybersecurity Analyst,cybersecurity analyst membangun pipeline data apache spark kafka posisi surabaya,IT & Software,5,10
Buyer,buyer mengelola pengadaan barang jasa negosiasi vendor posisi pengalaman,Operations & Supply Chain,7,9
Site Engineer,site engineer keselamatan kerja lingkungan industri posisi pengalaman,Engineering,1,8
Supply Chain Analyst,supply chain analyst mengelola proses impor ekspor dokumen kepabeanan posisi remote work available,Operations & Supply Chain,7,13
Dokter Gigi,dokter gigi pemeriksaan rontgen modalitas pencitraan posisi bandung,Healthcare,3,8
Process Engineer,process engineer mengelola proses impor ekspor dokumen kepabeanan posisi pengalaman,Operations & Supply Chain,7,10
Bookkeeper,bookkeeper menghitung biaya produksi menganalisis variance anggaran posisi bali,Finance & Accounting,2,9
Fasilitator,fasilitator memfasilitasi pelatihan workshop pengembangan kompetensi posisi pengalaman,Education,0,8
Industrial Relations,industrial relations mengelola sistem kompensasi benefit karyawan sesuai regulasi posisi hybrid working,Human Resources,4,12
Analis Laboratorium,analis laboratorium mempromosikan produk farmasi dokter tenaga medis posisi bali,Healthcare,3,10
Web Developer,web developer mengembangkan aplikasi mobile android kotlin java posisi hybrid working,IT & Software,5,11
Akuntan,akuntan audit internal proses keuangan operasional perusahaan posisi fresh graduate welcome,Finance & Accounting,2,11
Guru,guru pengajaran penelitian perguruan posisi pengalaman,Education,0,6
Psikolog,psikolog mengelola administrasi rumah sakit klinik kesehatan posisi hybrid working,Healthcare,3,10
Chemical Engineer,chemical engineer menganalisis meningkatkan efisiensi proses produksi posisi bandung,Engineering,1,9
Sales Executive,sales executive mengelola campaign iklan google ads meta ads target roas posisi fresh graduate welcome,Marketing & Sales,6,15
Quality Engineer,quality engineer pengujian kualitas material produk posisi pengalaman,Engineering,1,8
Tax Consultant,tax consultant menyusun anggaran perusahaan forecast keuangan posisi bali,Finance & Accounting,2,9
Dosen,dosen pengajaran penelitian perguruan posisi fresh graduate welcome,Education,0,8
CAD Designer,cad designer menganalisis meningkatkan efisiensi proses produksi posisi full time,Engineering,1,10
SEO Specialist,seo specialist mengelola event pemasaran pameran dagang posisi fresh graduate welcome,Marketing & Sales,6,11
Quality Engineer,quality engineer gambar teknik autocad software desain posisi bali,Engineering,1,9
Academic Advisor,academic advisor memfasilitasi pelatihan workshop pengembangan kompetensi posisi full time,Education,0,10
Mobile Developer Android,mobile developer android merancang arsitektur sistem cloud aws mengelola container docker kubernetes posisi pengalaman,IT & Software,5,14
Dosen,dosen merancang mengembangkan konten learning berbasis teknologi posisi bali,Education,0,9
Full Stack Developer,full stack developer memantau keamanan jaringan penetration testing posisi surabaya,IT & Software,5,10
Warehouse Manager,warehouse manager mengelola pengadaan barang jasa negosiasi vendor posisi surabaya,Operations & Supply Chain,7,10
Account Manager,account manager merancang strategi market produk posisi fresh graduate welcome,Marketing & Sales,6,10
Content Developer,content developer mengelola program pendidikan pelatihan lembaga posisi remote work available,Education,0,11
Logistics Coordinator,logistics coordinator mengelola hubungan pemasok evaluasi vendor posisi bandung,Operations & Supply Chain,7,9
Performance Marketing,performance marketing konten kreatif channel marketing posisi surabaya,Marketing & Sales,6,8
Librarian,librarian konseling bimbingan peserta didik posisi pengalaman,Education,0,7
Recruiter,recruiter membangun hubungan industrial harmonis manajemen karyawan posisi fresh graduate welcome,Human Resources,4,11
Operations Manager,operations manager merencanakan produksi mengelola kapasitas pabrik posisi bali,Operations & Supply Chain,7,9
Data Engineer,data engineer mengembangkan aplikasi mobile android kotlin java posisi remote work available,IT & Software,5,12
Mobile Developer Android,mobile developer android mengembangkan model machine learning tensorflow pytorch posisi fresh graduate welcome,IT & Software,5,13
Payroll Specialist,payroll specialist menganalisis laporan keuangan perusahaan pengambilan keputusan investasi posisi fresh graduate welcome,Finance & Accounting,2,13
Widyaiswara,widyaiswara mengembangkan kurikulum materi pembelajaran posisi hybrid working,Education,0,8
Tax Consultant,tax consultant menganalisis kelayakan kredit nasabah mengelola portofolio pinjaman posisi fresh graduate welcome,Finance & Accounting,2,13
Marketing Manager,marketing manager mengelola campaign iklan google ads meta ads target roas posisi medan,Marketing & Sales,6,13
Python Developer,python developer pengujian kualitas perangkat lunak menulis test case otomatis posisi jakarta,IT & Software,5,12
Finance Manager,finance manager laporan arus kas mengelola likuiditas perusahaan posisi remote work available,Finance & Accounting,2,12
Process Engineer,process engineer mengelola proses impor ekspor dokumen kepabeanan posisi surabaya,Operations & Supply Chain,7,10
Perawat ICU,perawat icu pemeriksaan diagnosis pengobatan pasien klinik posisi remote work available,Healthcare,3,11
PR Manager,manager mengelola konten media sosial instagram tiktok linkedin perusahaan posisi full time,Marketing & Sales,6,12
Mobile Developer Android,mobile developer android memantau keamanan jaringan penetration testing posisi medan,IT & Software,5,10
Learning & Development,learning development memfasilitasi program onboarding orientasi karyawan posisi jakarta,Human Resources,4,9
Cybersecurity Analyst,cybersecurity analyst mengelola infrastruktur server linux automasi deployment pipeline posisi surabaya,IT & Software,5,11
Frontend Developer,frontend developer mengembangkan aplikasi mobile android kotlin java posisi bandung,IT & Software,5,10
PR Manager,manager mengelola campaign iklan google ads meta ads target roas posisi jakarta,Marketing & Sales,6,12
System Analyst,system analyst memantau keamanan jaringan penetration testing posisi surabaya,IT & Software,5,9
Training Coordinator,training coordinator konseling bimbingan peserta didik posisi bandung,Education,0,8
Sanitarian,sanitarian mempromosikan produk farmasi dokter tenaga medis posisi pengalaman,Healthcare,3,9
Librarian,librarian mengelola program pendidikan pelatihan lembaga posisi pengalaman,Education,0,8
HR Generalist,generalist mengelola administrasi sdm kontrak kerja dokumen kepegawaian posisi medan,Human Resources,4,10
Email Marketing Specialist,email marketing specialist membangun hubungan klien mencapai target penjualan bulanan posisi surabaya,Marketing & Sales,6,12
Supply Chain Analyst,supply chain analyst menganalisis data supply chain efisiensi biaya posisi hybrid working,Operations & Supply Chain,7,12
Instruktur,instruktur pengajaran penelitian perguruan posisi medan,Education,0,6
Instruktur,instruktur mengembangkan kurikulum materi pembelajaran posisi fresh graduate welcome,Education,0,9
iOS Developer,ios developer memantau keamanan jaringan penetration testing posisi hybrid working,IT & Software,5,10
Construction Manager,construction manager perawatan preventif korektif mesin produksi posisi bandung,Engineering,1,9
HR Analyst,analyst mengelola proses rekrutmen end end sourcing onboarding posisi bandung,Human Resources,4,10
Frontend Developer,frontend developer mengelola mengoptimasi database mysql mongodb posisi surabaya,IT & Software,5,9
PR Manager,manager mengelola konten media sosial instagram tiktok linkedin perusahaan posisi jakarta,Marketing & Sales,6,11
Account Manager,account manager merancang mengeksekusi strategi pemasaran digital platform posisi medan,Marketing & Sales,6,10
Optometris,optometris konsultasi gizi terapi diet pasien posisi bandung,Healthcare,3,8
Rekam Medis,rekam medis pemeriksaan rontgen modalitas pencitraan posisi full time,Healthcare,3,9
Training & Development,training development mengelola proses rekrutmen end end sourcing onboarding posisi medan,Human Resources,4,11
Structural Engineer,structural engineer gambar teknik autocad software desain posisi remote work available,Engineering,1,11
Employee Relations,employee relations mengelola proses rekrutmen end end sourcing onboarding posisi hybrid working,Human Resources,4,12
Recruiter,recruiter evaluasi kinerja karyawan program talent management posisi jakarta,Human Resources,4,9
Java Developer,java developer mengembangkan aplikasi mobile android kotlin java posisi pengalaman,IT & Software,5,10
Education Consultant,education consultant memfasilitasi pelatihan workshop pengembangan kompetensi posisi jakarta,Education,0,9
Copywriter,copywriter mengoptimalkan seo website meningkatkan organic traffic posisi medan,Marketing & Sales,6,9
